,video-file,kind,engine,identity-source,identity-target,recording-source,recording-target,recording-target-ai-generated,gesture-type,script-type
0,facefusion--0-1--4095-4931--0.mp4,face-swap,facefusion,0,1,4095,4931,False,no-gesture,scripted-long
1,facefusion--0-1--4611-5105--0.mp4,face-swap,facefusion,0,1,4611,5105,False,no-gesture,scripted-short
2,facefusion--0-1--5460-5525--0.mp4,face-swap,facefusion,0,1,5460,5525,False,wave,no-speech
3,facefusion--0-1--5721-6640--0.mp4,face-swap,facefusion,0,1,5721,6640,False,no-gesture,scripted-short
4,facefusion--0-1--5807-5871--0.mp4,face-swap,facefusion,0,1,5807,5871,False,no-gesture,unscripted
5,facefusion--1-0--4329-4611--0.mp4,face-swap,facefusion,1,0,4329,4611,False,no-gesture,scripted-short
6,facefusion--1-0--4351-4610--0.mp4,face-swap,facefusion,1,0,4351,4610,False,no-gesture,scripted-short
7,facefusion--1-0--4503-4696--0.mp4,face-swap,facefusion,1,0,4503,4696,False,no-gesture,unscripted
8,facefusion--1-0--4931-4095--0.mp4,face-swap,facefusion,1,0,4931,4095,False,no-gesture,scripted-long
9,facefusion--1-0--5442-4352--0.mp4,face-swap,facefusion,1,0,5442,4352,False,move-head,no-speech
10,facefusion--10-11--4100-4897--0.mp4,face-swap,facefusion,10,11,4100,4897,False,no-gesture,scripted-long
11,facefusion--10-11--4786-5490--0.mp4,face-swap,facefusion,10,11,4786,5490,False,move-head,no-speech
12,facefusion--10-11--5047-5662--0.mp4,face-swap,facefusion,10,11,5047,5662,False,no-gesture,scripted-short
13,facefusion--10-11--5812-5752--0.mp4,face-swap,facefusion,10,11,5812,5752,False,no-gesture,unscripted
14,facefusion--10-11--5991-6376--0.mp4,face-swap,facefusion,10,11,5991,6376,False,no-gesture,scripted-short
15,facefusion--100-99--2769-1207--0.mp4,face-swap,facefusion,100,99,2769,1207,False,no-gesture,unscripted
16,facefusion--100-99--3075-2827--0.mp4,face-swap,facefusion,100,99,3075,2827,False,no-gesture,scripted-short
17,facefusion--100-99--350-1351--0.mp4,face-swap,facefusion,100,99,350,1351,False,move-head,no-speech
18,facefusion--100-99--484-1749--0.mp4,face-swap,facefusion,100,99,484,1749,False,no-gesture,scripted-short
19,facefusion--100-99--621-539--0.mp4,face-swap,facefusion,100,99,621,539,False,no-gesture,scripted-long
20,facefusion--102-103--1617-663--0.mp4,face-swap,facefusion,102,103,1617,663,False,no-gesture,scripted-long
21,facefusion--102-103--1892-931--0.mp4,face-swap,facefusion,102,103,1892,931,False,no-gesture,unscripted
22,facefusion--102-103--2278-130--0.mp4,face-swap,facefusion,102,103,2278,130,False,no-gesture,scripted-short
23,facefusion--102-103--274-1063--0.mp4,face-swap,facefusion,102,103,274,1063,False,move-head,no-speech
24,facefusion--102-103--3006-3538--0.mp4,face-swap,facefusion,102,103,3006,3538,False,no-gesture,scripted-short
25,facefusion--103-102--1739-541--0.mp4,face-swap,facefusion,103,102,1739,541,False,no-gesture,scripted-long
26,facefusion--103-102--2535-2278--0.mp4,face-swap,facefusion,103,102,2535,2278,False,no-gesture,scripted-short
27,facefusion--103-102--2812-1892--0.mp4,face-swap,facefusion,103,102,2812,1892,False,no-gesture,unscripted
28,facefusion--103-102--3372-3007--0.mp4,face-swap,facefusion,103,102,3372,3007,False,no-gesture,scripted-short
29,facefusion--103-102--393-274--0.mp4,face-swap,facefusion,103,102,393,274,False,move-head,no-speech
30,facefusion--104-105--1210-1248--0.mp4,face-swap,facefusion,104,105,1210,1248,False,no-gesture,unscripted
31,facefusion--104-105--1618-582--0.mp4,face-swap,facefusion,104,105,1618,582,False,no-gesture,scripted-long
32,facefusion--104-105--2157-312--0.mp4,face-swap,facefusion,104,105,2157,312,False,move-head,no-speech
33,facefusion--104-105--3033-3254--0.mp4,face-swap,facefusion,104,105,3033,3254,False,no-gesture,scripted-short
34,facefusion--104-105--9-2587--0.mp4,face-swap,facefusion,104,105,9,2587,False,no-gesture,scripted-short
35,facefusion--105-104--1930-811--0.mp4,face-swap,facefusion,105,104,1930,811,False,no-gesture,unscripted
36,facefusion--105-104--2064-2279--0.mp4,face-swap,facefusion,105,104,2064,2279,False,no-gesture,scripted-short
37,facefusion--105-104--2191-275--0.mp4,face-swap,facefusion,105,104,2191,275,False,move-head,no-speech
38,facefusion--105-104--3719-3024--0.mp4,face-swap,facefusion,105,104,3719,3024,False,no-gesture,scripted-short
39,facefusion--105-104--582-1618--0.mp4,face-swap,facefusion,105,104,582,1618,False,no-gesture,scripted-long
40,facefusion--106-107--2026-2390--0.mp4,face-swap,facefusion,106,107,2026,2390,False,no-gesture,scripted-short
41,facefusion--106-107--276-789--0.mp4,face-swap,facefusion,106,107,276,789,False,move-head,no-speech
42,facefusion--106-107--3060-3818--0.mp4,face-swap,facefusion,106,107,3060,3818,False,no-gesture,scripted-short
43,facefusion--106-107--543-654--0.mp4,face-swap,facefusion,106,107,543,654,False,no-gesture,scripted-long
44,facefusion--106-107--812-2003--0.mp4,face-swap,facefusion,106,107,812,2003,False,no-gesture,unscripted
45,facefusion--107-106--1730-1619--0.mp4,face-swap,facefusion,107,106,1730,1619,False,no-gesture,scripted-long
46,facefusion--107-106--1863-407--0.mp4,face-swap,facefusion,107,106,1863,407,False,no-gesture,scripted-short
47,facefusion--107-106--2003-1894--0.mp4,face-swap,facefusion,107,106,2003,1894,False,no-gesture,unscripted
48,facefusion--107-106--3584-3059--0.mp4,face-swap,facefusion,107,106,3584,3059,False,no-gesture,scripted-short
49,facefusion--107-106--789-680--0.mp4,face-swap,facefusion,107,106,789,680,False,move-head,no-speech
50,facefusion--108-109--1212-2740--0.mp4,face-swap,facefusion,108,109,1212,2740,False,no-gesture,unscripted
51,facefusion--108-109--2418-2465--0.mp4,face-swap,facefusion,108,109,2418,2465,False,no-gesture,scripted-short
52,facefusion--108-109--3066-3569--0.mp4,face-swap,facefusion,108,109,3066,3569,False,no-gesture,scripted-short
53,facefusion--108-109--544-1667--0.mp4,face-swap,facefusion,108,109,544,1667,False,no-gesture,scripted-long
54,facefusion--108-109--946-726--0.mp4,face-swap,facefusion,108,109,946,726,False,wave,no-speech
55,facefusion--109-108--1667-1620--0.mp4,face-swap,facefusion,109,108,1667,1620,False,no-gesture,scripted-long
56,facefusion--109-108--2200-2159--0.mp4,face-swap,facefusion,109,108,2200,2159,False,move-head,no-speech
57,facefusion--109-108--2597-408--0.mp4,face-swap,facefusion,109,108,2597,408,False,no-gesture,scripted-short
58,facefusion--109-108--2981-3077--0.mp4,face-swap,facefusion,109,108,2981,3077,False,no-gesture,scripted-short
59,facefusion--109-108--859-2694--0.mp4,face-swap,facefusion,109,108,859,2694,False,no-gesture,unscripted
60,facefusion--11-10--4125-4872--0.mp4,face-swap,facefusion,11,10,4125,4872,False,no-gesture,scripted-long
61,facefusion--11-10--4382-5388--0.mp4,face-swap,facefusion,11,10,4382,5388,False,move-head,no-speech
62,facefusion--11-10--5329-5638--0.mp4,face-swap,facefusion,11,10,5329,5638,False,no-gesture,scripted-short
63,facefusion--11-10--5837-4443--0.mp4,face-swap,facefusion,11,10,5837,4443,False,no-gesture,unscripted
64,facefusion--11-10--6335-5934--0.mp4,face-swap,facefusion,11,10,6335,5934,False,no-gesture,scripted-short
65,facefusion--110-111--1621-599--0.mp4,face-swap,facefusion,110,111,1621,599,False,no-gesture,scripted-long
66,facefusion--110-111--1755-1808--0.mp4,face-swap,facefusion,110,111,1755,1808,False,no-gesture,scripted-short
67,facefusion--110-111--278-998--0.mp4,face-swap,facefusion,110,111,278,998,False,move-head,no-speech
68,facefusion--110-111--3113-3488--0.mp4,face-swap,facefusion,110,111,3113,3488,False,no-gesture,scripted-short
69,facefusion--110-111--814-866--0.mp4,face-swap,facefusion,110,111,814,866,False,no-gesture,unscripted
70,facefusion--111-110--1265-1896--0.mp4,face-swap,facefusion,111,110,1265,1896,False,no-gesture,unscripted
71,facefusion--111-110--2604-12--0.mp4,face-swap,facefusion,111,110,2604,12,False,no-gesture,scripted-short
72,facefusion--111-110--329-682--0.mp4,face-swap,facefusion,111,110,329,682,False,move-head,no-speech
73,facefusion--111-110--3488-2953--0.mp4,face-swap,facefusion,111,110,3488,2953,False,no-gesture,scripted-short
74,facefusion--111-110--599-1621--0.mp4,face-swap,facefusion,111,110,599,1621,False,no-gesture,scripted-long
75,facefusion--112-113--1622-641--0.mp4,face-swap,facefusion,112,113,1622,641,False,no-gesture,scripted-long
76,facefusion--112-113--2161-1041--0.mp4,face-swap,facefusion,112,113,2161,1041,False,move-head,no-speech
