video-file,kind,engine,identity-source,identity-target,recording-source,recording-target,audio-config,gen-config,gesture-type,script-type
diff2lip-6868-6860-playht.mp4,lip-sync,diff2lip,284,284,6868,6860,playht,,no-gesture,scripted-short
diff2lip-6889-6861-playht.mp4,lip-sync,diff2lip,284,284,6889,6861,playht,,no-gesture,unscripted
latentsync-6871-6880-speechify.mp4,lip-sync,latentsync,284,284,6871,6880,speechify,,no-gesture,scripted-short
memo-6889-6872-speechify.mp4,avatar,memo,284,284,6889,6872,speechify,,no-gesture,unscripted
memo-6875-6885-elevenlabs.mp4,avatar,memo,284,284,6875,6885,elevenlabs,,no-gesture,scripted-short
hellomeme-6862-6873-elevenlabs.mp4,avatar,hellomeme,284,284,6862,6873,real,,no-gesture,scripted-short
hellomeme-6892-6863-real.mp4,avatar,hellomeme,284,284,6892,6863,real,,no-gesture,scripted-short
facefusion-10294-6880.mp4,face-swap,facefusion,377,284,10294,6880,real,simswap_256_768768,no-gesture,scripted-short
facefusion-10266-6872.mp4,face-swap,facefusion,377,284,10266,6872,real,simswap_256_768768,no-gesture,unscripted
facefusion-10267-6876.mp4,face-swap,facefusion,377,284,10267,6876,real,simswap_256_768768,no-gesture,scripted-long
diff2lip-12107-12089-playht.mp4,lip-sync,diff2lip,483,483,12107,12089,playht,,no-gesture,scripted-short
diff2lip-12120-12092-elevenlabs.mp4,lip-sync,diff2lip,483,483,12120,12092,elevenlabs,,no-gesture,scripted-short
latentsync-12113-12092-real.mp4,lip-sync,latentsync,483,483,12113,12092,real,,no-gesture,scripted-short
latentsync-12099-12102-elevenlabs.mp4,lip-sync,latentsync,483,483,12099,12102,elevenlabs,,no-gesture,scripted-short
memo-12118-12108-elevenlabs.mp4,avatar,memo,483,483,12118,12108,elevenlabs,,no-gesture,unscripted
hellomeme-12108-12112-playht.mp4,avatar,hellomeme,483,483,12108,12112,real,,no-gesture,unscripted
facefusion-9846-12093.mp4,face-swap,facefusion,460,483,9846,12093,real,inswapper_128_fp16_768768,no-gesture,scripted-long
facefusion-9840-12118.mp4,face-swap,facefusion,460,483,9840,12118,real,inswapper_128_fp16_codeformer_512512,no-gesture,unscripted
diff2lip-14303-14318-real.mp4,lip-sync,diff2lip,307,307,14303,14318,real,,yawn,no-speech
diff2lip-14323-14317-speechify.mp4,lip-sync,diff2lip,307,307,14323,14317,speechify,,no-gesture,scripted-short
diff2lip-14306-14320-playht.mp4,lip-sync,diff2lip,307,307,14306,14320,playht,,no-gesture,scripted-short
latentsync-14326-14311-playht.mp4,lip-sync,latentsync,307,307,14326,14311,playht,,no-gesture,unscripted
latentsync-14323-14309-playht.mp4,lip-sync,latentsync,307,307,14323,14309,playht,,no-gesture,scripted-short
